Sample	Mapped (with MQ>0)	Unmapped
SC_375_mature_hairpin_genome	4917429	4347342
SC_375_mature_hairpin	3585422	9209182
SC_375_mature	14945565	12507898
SC_373_mature_hairpin_genome	5364365	10568678
SC_373_mature_hairpin	4069070	15784794
SC_373_mature	10899376	19530932
SC_372_mature_hairpin_genome	466361	1277379
SC_372_mature_hairpin	278775	1729919
SC_372_mature	1000037	1972216
SC_371_mature_hairpin_genome	1323766	11554287
SC_371_mature_hairpin	3884222	12742372
SC_371_mature	10311186	15986343
SC_366_mature_hairpin_genome	1950351	6049547
SC_366_mature_hairpin	2692286	7946340
SC_366_mature	10855919	10385584
SC_363_mature_hairpin_genome	1785360	4719578
SC_363_mature_hairpin	3172307	6443801
SC_363_mature	15283542	9347917
SC_360_mature_hairpin_genome	6393637	7899608
SC_360_mature_hairpin	2586814	14249692
SC_360_mature	11191408	16650498
SC_359_mature_hairpin_genome	772978	2413120
SC_359_mature_hairpin	6897759	3123516
SC_359_mature	24559803	9623594
SC_350_mature_hairpin_genome	7348569	6670062
SC_350_mature_hairpin	1865905	13978181
SC_350_mature	5626041	15675998
SC_346_mature_hairpin_genome	91722	465433
SC_346_mature_hairpin	220717	550982
SC_346_mature	770483	751722
SC_345_mature_hairpin_genome	127582	648916
SC_345_mature_hairpin	849937	757561
SC_345_mature	3988391	1545899
SC_344_mature_hairpin_genome	3046790	4962062
SC_344_mature_hairpin	2812683	7958051
SC_344_mature	12059312	10526656
SC_343_mature_hairpin_genome	8740107	4309858
SC_343_mature_hairpin	1363224	13018072
SC_343_mature	5966144	14278700
SC_340_mature_hairpin_genome	6785632	4908122
SC_340_mature_hairpin	3322263	11635484
SC_340_mature	11452686	14734344
SC_337_mature_hairpin_genome	2208061	3653634
SC_337_mature_hairpin	1772336	5826603
SC_337_mature	8812419	7468275
SC_334_mature_hairpin_genome	4784762	6247131
SC_334_mature_hairpin	5136883	10932584
SC_334_mature	12556898	15637192
SC_331_mature_hairpin_genome	5319405	6041206
SC_331_mature_hairpin	3271056	11288070
SC_331_mature	10694971	14296881
SC_330_mature_hairpin_genome	1533651	4154713
SC_330_mature_hairpin	4228162	5616625
SC_330_mature	12882718	9425175
SC_325_mature_hairpin_genome	1372170	3391845
SC_325_mature_hairpin	5215807	4702310
SC_325_mature	14224823	9368454
SC_321_mature_hairpin_genome	2377820	4148758
SC_321_mature_hairpin	4819712	6455622
SC_321_mature	13052914	10840388
SC_319_mature_hairpin_genome	2131379	3668909
SC_319_mature_hairpin	2694449	5735368
SC_319_mature	10635070	8258957
SC_318_mature_hairpin_genome	1221577	2801202
SC_318_mature_hairpin	4627372	3959025
SC_318_mature	17082695	8248130
SC_315_mature_hairpin_genome	2138741	3809122
SC_315_mature_hairpin	5488459	5874581
SC_315_mature	14134369	11010585
SC_314_mature_hairpin_genome	2679436	4960119
SC_314_mature_hairpin	4087514	7583152
SC_314_mature	11126072	11233287
SC_313_mature_hairpin_genome	3825743	5754935
SC_313_mature_hairpin	3405941	9473724
SC_313_mature	14897240	12645169
SC_312_mature_hairpin_genome	1507700	2794434
SC_312_mature_hairpin	4644281	4260306
SC_312_mature	16636872	8446482
SC_309_mature_hairpin_genome	1441141	3483122
SC_309_mature_hairpin	3241007	4840223
SC_309_mature	15686563	7816291
SC_307_mature_hairpin_genome	1610746	3703775
SC_307_mature_hairpin	3494741	5227099
SC_307_mature	17469805	8501677
SC_303_mature_hairpin_genome	1565736	4501527
SC_303_mature_hairpin	4359563	5942747
SC_303_mature	14743705	10033956
SC_301_mature_hairpin_genome	338174	1945224
SC_301_mature_hairpin	3363956	2227328
SC_301_mature	21145107	5369457
SC_298_mature_hairpin_genome	7712913	6981737
SC_298_mature_hairpin	3975972	14579438
SC_298_mature	17360005	18269021
SC_296_mature_hairpin_genome	3048365	2484878
SC_296_mature_hairpin	2785017	5476804
SC_296_mature	12678516	8099488
SC_294_mature_hairpin_genome	1712011	10084572
SC_294_mature_hairpin	4005534	11624574
SC_294_mature	11423661	15233093
SC_293_mature_hairpin_genome	1549409	3678267
SC_293_mature_hairpin	3421304	5114103
SC_293_mature	15368091	8246741
SC_292_mature_hairpin_genome	895545	3466828
SC_292_mature_hairpin	4472883	4279211
SC_292_mature	18956815	8442108
SC_290_mature_hairpin_genome	5386944	7134399
SC_290_mature_hairpin	3892693	12447347
SC_290_mature	12024349	15894369
SC_288_mature_hairpin_genome	1061454	2947261
SC_288_mature_hairpin	4069560	3918737
SC_288_mature	19216109	7764252
SC_287_mature_hairpin_genome	2708510	3975337
SC_287_mature_hairpin	3584600	6605372
SC_287_mature	13471280	9895071
SC_286_mature_hairpin_genome	4007433	5551495
SC_286_mature_hairpin	5515837	9474968
SC_286_mature	16329833	14653293
SC_284_mature_hairpin_genome	8218701	6404276
SC_284_mature_hairpin	2085590	14554741
SC_284_mature	8003734	16508641
