Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SC_301.raw - illumina_universal_adapter	0.022182177326383067	0.02343996835623045	0.02400315836959495	0.02419088837404978	0.024322299377168163	0.024374863778415516	0.024427428179662872	0.02454006618233577	0.024776605987948862	0.02547496160452084	0.026454912227775067	0.029717659705200065	0.036213117859337285	0.05319141946223238	0.09694377430047577	0.18787267925821868	0.5922468634540181	0.8975559242990021	1.3698620879068273	2.2876628158862387	5.213615156119087	20.459337774900085	84.75671036207673	92.57882642089555	95.04714557466876	95.43318229202941	95.70962598738943	96.1449305671192	96.74401831193555	97.0362163092694	97.45284926275612	98.30434375316207	98.5300628013184	98.64082350394675	98.66562639213531	98.70976547078274	98.71954620401483	98.72483643554037	98.7274421280022
SC_303.raw - illumina_universal_adapter	0.007834520141871944	0.007906875894849726	0.007926974715121332	0.007947073535392937	0.008039528108642323	0.008083745513239857	0.008144041974054675	0.008465623098400366	0.00912888416736336	0.012585881254079558	0.015753455328884634	0.023720627684549175	0.041218660613009196	0.0801782138274899	0.18495336390337097	0.37271654288071243	0.7187096943282978	1.2986571335014292	2.252748131794557	3.686654246667676	8.092500559350167	26.151716668377745	69.54102575213604	79.45084556138859	83.21467525813517	84.11346636233301	84.92807154794119	86.09888410545899	87.71450767417176	89.03818381914728	91.4689954392561	96.40850160802621	97.59701318667518	98.479596602206	98.75335861336148	98.86977901990274	98.89352376617161	98.9056071769189	98.9113634790447
SC_307.raw - illumina_universal_adapter	0.00603903334771107	0.006081264350142616	0.006085103532181848	0.006096621078299542	0.00611965617053493	0.006131173716652625	0.006158047990927245	0.0062655450880257256	0.006434469097751909	0.0072790891463828285	0.008584411039721521	0.01292268674405306	0.02148022350949996	0.04164360757954353	0.08962570470585819	0.179643005979718	0.3790309251872033	0.7432118942466593	1.3975044932826792	2.251031444244615	5.252085491673486	19.118700406166266	73.33648914096958	81.78113859773492	84.76286236359626	85.28432694243895	85.71844245152505	86.37902746992337	87.63911612047583	88.4264632514455	89.57376825123147	95.45081883034328	96.72210253572214	97.75693869766883	98.1336277218121	98.63642235839801	98.75910725964368	98.80579171324074	98.82223492991477
SC_309.raw - illumina_universal_adapter	0.03627531799459557	0.03799607025844177	0.03878668616345218	0.038989625005379995	0.0391587407069865	0.03923484277270943	0.039340540086213495	0.039649176241645365	0.040236853304727975	0.0429173371751911	0.04736085223490205	0.061520064351906774	0.09426086418292637	0.14984919530098495	0.26055656146514405	0.4118559239074048	0.930089852017842	1.5443688149631543	2.4291906215534746	3.6170423980674133	8.324259571293387	22.199691313109856	72.29238785705293	83.57969826883867	86.61713887857518	87.13683142961197	87.55414556278873	88.10163650727709	89.07367973697097	89.75464102105973	91.45375493088537	96.54379508994545	97.31615918285999	97.93111038071919	98.05875891229178	98.22132560835357	98.2682467597643	98.2923964819537	98.29958812716453
SC_312.raw - illumina_universal_adapter	0.004817926032282495	0.00490958219335983	0.004913567243841453	0.004949432698176062	0.004965372900102555	0.005009208455400411	0.005156655323220471	0.005626891280052013	0.006539467840343735	0.008607709040306196	0.01151679589189116	0.018044308580790026	0.03236259496126232	0.06169256650600936	0.13021949458800255	0.2495757415631002	0.45850396821364336	0.7804681517754296	1.3478158037936485	2.341771079970598	7.618013783094101	27.809348011868277	74.10851332311965	83.43458350344518	86.13613291099769	86.58970737176556	86.91217367168802	87.57556502536384	88.66784743712437	89.42180304804556	90.90347271246645	95.89289140717513	97.65145831926112	98.80038423856743	98.99596254610455	99.10941693331635	99.14143282888571	99.15292172942424	99.1567473778866
SC_313.raw - illumina_universal_adapter	0.0015625088933402065	0.001577010135969814	0.001577010135969814	0.0015806354466272158	0.0015878860679420196	0.001602387310571627	0.0016785188343770663	0.0019359158910525992	0.0024289581404592538	0.0035310525803094223	0.005118938648251442	0.008795003654856939	0.01606012621229029	0.0288719740755485	0.06033604527113934	0.12251374835623884	0.27215207105115846	0.5342040266107954	1.0072998167804248	1.8565723420047018	4.619562981126307	16.49637071962743	61.43716812773332	68.73190222261633	71.48728333466805	72.45712281642554	73.34504840387903	74.3760722536015	76.186552395908	77.76724947281639	82.05409594304898	94.321849932223	96.64522452509608	98.16423694116878	98.52209135616093	98.88964710247227	98.99714118877489	99.04428110325308	99.06142519735194
SC_314.raw - illumina_universal_adapter	0.014097799164448607	0.014174051975710339	0.014200964732626246	0.014218906570570183	0.014241333868000104	0.0142996448413179	0.014389354031037586	0.014815472682206093	0.015560058956879484	0.017605428482488316	0.019592487034779355	0.026325161723241768	0.036529582053856015	0.05592022341176608	0.15089085710851133	0.2381285586514197	0.41860550652948336	0.7606801033091029	1.3264669919521885	2.277635588712072	6.637399043520619	23.43847698914429	56.311010098563486	67.58268720289438	70.9107411504127	72.29266636344961	73.26020688733333	74.56147456789326	76.1461560060751	77.4089653570022	80.30181311243342	88.2285350579028	93.61640171057483	97.78415610116684	98.33729847951895	98.64582632480288	98.76656143778713	98.82349986050221	98.84425408154387
SC_315.raw - illumina_universal_adapter	0.006953100206100385	0.007016707755155621	0.007020683226971572	0.007024658698787525	0.007032609642419429	0.007060437945131094	0.007187653043241564	0.007390402105855127	0.008010575709143668	0.010189134264285471	0.01297991547908391	0.019917113797920487	0.03340588966944628	0.05878927721430103	0.11501039963549695	0.19059604527219598	0.36338197680892614	0.5888588117942867	1.0314838683105878	1.9352119743437362	5.5065850311480204	21.441361373290164	68.03067489955076	78.44922171591938	81.73125595848686	82.41108946731738	82.9779718709131	83.83636369635713	85.27268178610157	86.61133445974352	89.38706851371857	95.93302474926004	97.77181563017967	98.706643852229	98.83632374286537	98.9479033103237	98.97605362625245	98.99048061347254	98.99617348911299
SC_318.raw - illumina_universal_adapter	0.0126542587210836	0.012701505486688145	0.012709379947622236	0.012717254408556327	0.012729066099957461	0.012760563943693825	0.012827496861633595	0.01308341684199154	0.013622817415976745	0.015618993262768714	0.019166437913576532	0.027702353566130745	0.04074246087298479	0.060338056907469254	0.10293889056089943	0.16427700400699818	0.35979593177000085	0.5758120813444414	0.9713738146770817	1.77949036803813	5.168713475297265	18.329071675075802	76.6339388321324	85.62401795629076	88.60190678496627	89.17954967847788	89.63148467763769	90.30290058918291	91.37783143960422	92.0523971355231	93.57590059028534	97.04331315738953	98.14212724782394	98.72924705506973	98.83444197868825	98.96700459128319	98.99671493238752	99.00769193092964	99.01237723518543
SC_319.raw - illumina_universal_adapter	0.03166289056410825	0.031767474843428185	0.03177793327136018	0.031793620913258165	0.03184068383895213	0.0318929759786121	0.03201847711379601	0.032593690650055615	0.03355063680583296	0.03702806409322057	0.04267038596253069	0.05651734454448919	0.0825483716672193	0.13684330027616	0.26331184004378316	0.45175179452242975	1.3378002673487932	1.854802193738926	2.6246261569570533	4.293393834641692	8.91092049696567	23.658229451947523	65.15007085846385	75.29035341276544	78.2039250166276	78.8462345972849	79.3712842839687	80.06819731685894	81.17467284599395	81.9701461037153	84.45385540271667	93.69339016373348	96.0098848877442	98.0458479701211	98.38777058371572	98.78903954661041	98.91171167703872	98.97971237545254	98.99526405778741
