SC_309	150590	299858	296395	1126276	3314274	11880489	2685249	723915	123344	97888	126901	171302	136075	409597	1211072	183973	146469	30481	38654	11182	5756	1718	2344	882	488	295	235	278	923	0	0	0	0	196709
SC_312	92602	206124	257688	1330731	5073427	11594395	2346958	680327	113523	77835	156127	221387	169733	376441	1257304	443213	289630	49335	28594	8090	2910	969	931	575	465	349	294	299	636	0	0	0	0	88810
SC_313	84265	280038	242182	766211	3284548	12382683	2021703	762581	267191	241428	272366	408209	390052	1197314	3396399	643608	420757	99130	101714	29778	13075	4757	4692	1792	1097	759	504	346	731	0	0	0	0	120256
SC_314	94319	288676	214481	976482	3740157	7292492	2519577	744993	307940	201936	252619	249100	263999	648933	1775814	1207623	934217	124154	69148	27080	12788	4663	2473	986	542	373	277	237	293	0	0	0	0	140227
SC_315	73770	250748	236404	906664	4019947	11697639	2631945	829710	170549	136684	198699	277099	294518	706937	1655522	464977	236605	32849	28185	7130	3655	1444	1355	650	353	296	228	199	527	0	0	0	0	91326
SC_318	59408	124553	212297	867290	3354358	14758790	2295511	760050	147137	113203	168548	259448	166518	391682	884937	280509	149822	26885	33826	7592	2803	1193	1382	649	375	191	177	160	447	0	0	0	0	115521
SC_319	100684	170681	324274	887368	2830849	7920077	1947066	560192	123140	98744	130909	197656	146860	480241	1776205	445452	391680	65843	77134	23626	13088	2991	3043	807	528	216	136	87	269	0	0	0	0	77821
SC_321	86037	234079	245599	980617	4285985	9750804	2281684	790101	195644	163003	212706	298818	318267	714645	1869147	615863	385956	84208	44122	13313	6224	2698	2804	1292	770	529	385	236	506	0	0	0	0	93167
SC_325	119615	265010	282348	1268694	4767307	9624274	2871798	794079	157794	130354	191747	220671	240027	478509	995575	430584	241706	56409	27782	11482	5250	2165	1337	750	530	384	321	288	368	0	0	0	0	81826
SC_330	167642	290918	366887	1221887	4171831	8549482	2725689	806763	203370	173170	221525	229357	232297	491335	1323700	415244	265669	45504	34511	17350	10727	2011	1410	664	485	299	252	201	346	0	0	0	0	100746
SC_331	141417	539464	331753	981781	3472115	7615976	1870335	569961	152205	138469	234779	344873	554720	1525344	4148551	1160615	716504	90894	75689	37045	15426	4165	2971	955	637	335	237	185	373	0	0	0	0	113195
SC_334	52926	212295	162286	746453	3391302	9403516	3218524	1081234	224611	188702	304791	434397	459883	1320800	4126635	1141241	849909	238015	164753	80498	42827	16450	8732	3855	2060	1223	1041	776	841	0	0	0	0	92943
